,LDM Object,Field,Field Type,Field Type Refer To,Field Type Details,Overwrites,Default Value,Avaloq Path,Field Description,Internal ID,User ID,Refers to,Cardinality,Mandatory,Group ID
50,Person,Document Type Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_bp.extn.btfg$docm_det.bp_docm_list.docm_type.name,,person$docm_type_name,DOCM_TYPE_NAME,,1,-,401
51,Person,Document Accredited English Translation ID,Avaloq Code Table,to be written,,,,obj_bp.extn.btfg$docm_det.bp_docm_list.accr_en_trl_id,,person$docm_accr_en_trl,DOCM_ACCR_EN_TRL_ID,btfg$code_accr_en_trl,1,-,401
52,Person,Document Accredited English Translation Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_bp.extn.btfg$docm_det.bp_docm_list.accr_en_trl.name,,person$docm_accr_en_trl_name,DOCM_ACCR_EN_TRL_NAME,,1,-,401
53,Person,Document Public Document Type,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_bp.extn.btfg$docm_det.bp_docm_list.public_docm_type_text,,person$docm_public_docm_type_text,DOCM_PUBLIC_DOCM_TYPE_TEXT,,1,-,401
54,Person,Document State ID,Avaloq Code Table,to be written,,,,obj_bp.extn.btfg$docm_det.bp_docm_list.state_id,,person$docm_state,DOCM_STATE_ID,code_country_state,1,-,401
55,Person,Document State Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_bp.extn.btfg$docm_det.bp_docm_list.state.name,,person$docm_state_name,DOCM_STATE_NAME,code_country_state,1,-,401
56,Person,Document Country ID,LDM Object,btfg$code_ldm_obj,Logical Data Model Object,,,obj_bp.extn.btfg$docm_det.bp_docm_list.country_id,,person$docm_country,DOCM_COUNTRY_ID,country,1,-,401
57,Person,Document Country Name,LDM Object,btfg$code_ldm_obj,Logical Data Model Object,,,obj_bp.extn.btfg$docm_det.bp_docm_list.country.name,,person$docm_country_name,DOCM_COUNTRY_NAME,country,1,-,401
58,Person,Document User,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_bp.extn.btfg$docm_det.bp_docm_list.user,,person$docm_user,DOCM_USER,,1,-,401
59,Person,Document Signature Date,Avaloq DDIC Date,date,Compiles to a date,,,obj_bp.extn.btfg$docm_det.bp_docm_list.sign_date,,person$docm_sign_date,DOCM_SIGN_DATE,,1,+,401
60,Person,Address ID,LDM Object,btfg$code_ldm_obj,Logical Data Model Object,,,obj_person.addr_list.obj_addr_id,Address type,person$addr,ADDR_ID,addr,n,-,
61,Person,Australian Tax Person Relevant ID,Avaloq Code Table,to be written,,,,obj_person.au_tax_person.hist.person_relv_id,,person$au_tax_person_relv,AU_TAX_PERSON_RELV_ID,code_au_tax_person_relv,1,-,
62,Person,Australian Tax Person Relevant Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_person.au_tax_person.hist.person_relv.name,,person$au_tax_person_relv_name,AU_TAX_PERSON_RELV_NAME,,1,-,
63,Person,Tax Address 1 ID,LDM Object,btfg$code_ldm_obj,Logical Data Model Object,,,obj_person.au_tax_person.hist.tax_addr_1_id,,person$tax_addr_1,TAX_ADDR_1_ID,addr,1,-,
64,Person,Tax Address 1 Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_person.au_tax_person.hist.tax_addr_1.name,Last name,person$tax_addr_1_name,TAX_ADDR_1_NAME,,1,-,
65,Person,Tax Address 2 ID,LDM Object,btfg$code_ldm_obj,Logical Data Model Object,,,obj_person.au_tax_person.hist.tax_addr_2_id,,person$tax_addr_2,TAX_ADDR_2_ID,addr,1,-,
66,Person,Tax Address 2 Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_person.au_tax_person.hist.tax_addr_2.name,Last name,person$tax_addr_2_name,TAX_ADDR_2_NAME,,1,-,
67,Person,Is Beneficial Owner,Avaloq DDIC Boolean,bool,Compiles to a varchar2(1) or boolean,,,btfg$obj_person.person#is_bo,,person$is_bo,IS_BO,,1,-,
68,Person,GCM Customer Number,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,btfg$obj_person.person#gcm_cust_num,,person$gcm_cust_nr,GCM_CUST_NR,,1,-,
69,Person,Is SAFI Active,Avaloq DDIC Boolean,bool,Compiles to a varchar2(1) or boolean,,,btfg$obj_person.person#is_safi_active,,person$is_safi_active,IS_SAFI_ACTIVE,,1,-,
70,Person,Person Association Role,Avaloq Code Table,to be written,,,,obj_person.person_assoc_list,"List of associated person, current person = person_id, associated person = person_trg_id",person$assoc_roles,ASSOC_ROLES,code_person_assoc_role,n,-,681
71,Person,Person Association Role ID,Avaloq Code Table,to be written,,,,obj_person.person_assoc_list.person_assoc_role_id,Person Association Role,person$assoc_role_id,ASSOC_ROLE_ID,code_person_assoc_role,n,-,681
72,Person,Person Association Role Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_person.person_assoc_list.person_assoc_role.name,,person$assoc_role_name,ASSOC_ROLE_NAME,,n,-,681
73,Person,Client authority,Avaloq Code Table,to be written,,,,obj_person.bp_person_rel_list.auth_det,Details of the beneficial ownership entry,person$auth,AUTH_ROLE,code_auth_role,n,+,683
74,Person,Client authority name over its account,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_person.bp_person_rel_list.auth_det.auth_role.name,,person$auth_role_name,AUTH_ROLE_NAME,,n,-,683
75,Person,Client authority id over its account,Avaloq Code Table,to be written,,,,obj_person.bp_person_rel_list.auth_det.auth_role_id,Legitimation,person$auth_role,AUTH_ROLE_ID,code_auth_role,n,+,683
76,Person,Authorised Transaction,Avaloq Code Table,to be written,,,,obj_person.bp_person_rel_list.auth_det,Details of the beneficial ownership entry,person$auth_trx,AUTH_TRX,code_auth_trx_group,n,-,684
77,Person,Authorised Transaction Type name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_person.bp_person_rel_list.auth_det.auth_trx_type.name,,person$auth_trx_type_name,AUTH_TRX_TYPE_NAME,,n,-,684
78,Person,Authorised Transaction Type,Avaloq Code Table,to be written,,,,obj_person.bp_person_rel_list.auth_det.auth_trx_type_id,Authorised Transaction Type,person$auth_trx_type,AUTH_TRX_TYPE,code_auth_trx_group,n,-,684
79,Person,SA TFN Exemption ID,Avaloq Code Table,to be written,,,,btfg$obj_person.person#sa_tfn_exempt,,person$sa_tfn_exempt,SA_TFN_EXEMPT_ID,code_au_sa_person_tfn_exempt,1,-,
81,Person,Object ID,LDM Object,btfg$code_ldm_obj,Logical Data Model Object,,,obj.id,,obj$obj_id,OBJ_ID,obj,1,+,
82,Person,Alpha-numeric sort value,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj.sort_alpha,Alpha-numeric sort value,obj$sort_alpha,SORT_ALPHA,,1,-,
83,Person,Close Date,Avaloq DDIC Date,date,Compiles to a date,,,obj.close_date,Closing date,obj$close_date,CLOSE_DATE,,1,+,
84,Person,Open Date,Avaloq DDIC Date,date,Compiles to a date,,,obj.open_date,Opening date,obj$open_date,OPEN_DATE,,1,+,
87,Organizational Entity,Person Type ID,Avaloq Code Table,to be written,,Person Type ID,150,btfg$obj_person.person#person_type_id,,person$person_type,PERSON_TYPE_ID,code_obj_sub_type,1,+,
88,Organizational Entity,Organisational Entity PPID Key,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,btfg$obj_person_oe.oe#person_ppid,,person_oe$oe_pbid_key,OE_PPID_KEY,,1,-,
89,Organizational Entity,Full Name Auto,Avaloq DDIC Boolean,bool,Compiles to a varchar2(1) or boolean,Full Name Auto,-,obj_person.person_name.full_name_a,Full Name Auto Flag,person$full_name_a,FULL_NAME_A,,1,+,
90,Organizational Entity,Organisational Entity,LDM Object,btfg$code_ldm_obj,Logical Data Model Object,,,obj_person.id,,person_oe$oe,OE_ID,person,1,+,
91,Organizational Entity,Organisational Entity Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,btfg$obj_person_oe.oe#name,,person_oe$oe_name,OE_NAME,,1,-,
92,Organizational Entity,Organisational Entity Key,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,btfg$obj_person_oe.oe#person_sym,,person_oe$oe_key,OE_KEY,,1,-,
93,Organizational Entity,Organisational Entity EBI Key,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,btfg$obj_person_oe.oe#person_ebi,,person_oe$oe_ebi_key,OE_EBI_KEY,,1,-,
94,Organizational Entity,Organisational Entity Parent ID,LDM Object,btfg$code_ldm_obj,Logical Data Model Object,,,btfg$obj_person_oe.oe#parent_id,,person_oe$oe_parent,OE_PARENT_ID,person_oe,1,+,
95,Organizational Entity,Organisational Entity Parent Key,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,btfg$obj_person_oe.oe#person_sym(btfg$obj_person_oe.oe#parent_id),,person_oe$oe_parent_key,OE_PARENT_KEY,,1,-,
96,Organizational Entity,Organisational Entity Parent EBI Key,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,btfg$obj_person_oe.oe#person_ebi(btfg$obj_person_oe.oe#parent_id),,person_oe$oe_parent_ebi_key,OE_PARENT_EBI_KEY,,1,-,
97,Organizational Entity,Organisational Entity Type ID,Avaloq Class,code_obj_class,Compiles to a varchar2(2000),,,btfg$obj_person_oe.oe#type,,person_oe$oe_type,OE_TYPE_ID,,1,+,
98,Organizational Entity,Organisational Entity Type Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_person.extn.btfg$oe_type.name,,person_oe$oe_type_name,OE_TYPE_NAME,,1,-,
99,Organizational Entity,Organisational Entity GCM ID,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,btfg$obj_person.person#gcm_id,,person_oe$oe_gcm,OE_GCM_ID,person$gcm,1,-,
100,Organizational Entity,Organisational Entity Open Date,Avaloq DDIC Date,date,Compiles to a date,,,btfg$obj_person.person#open_date,,person_oe$oe_open_date,OE_OPEN_DATE,person$open_date,1,-,
101,Organizational Entity,Intermediary Entity Type ID,Avaloq Class,code_obj_class,Compiles to a varchar2(2000),,,btfg$obj_person_oe.oe#intm_entity_type,,person_oe$intm_entity_type,INTM_ENTITY_TYPE_ID,,1,-,
102,Organizational Entity,Intermediary Entity Type Name,Avaloq Class,code_obj_class,Compiles to a varchar2(2000),,,obj_person.extn.btfg$oe_intm_entity_type.name,,person_oe$intm_entity_type_name,INTM_ENTITY_TYPE_NAME,,1,-,
103,Organizational Entity,Organisational Entity Status ID,Avaloq Code Table,to be written,,,,btfg$obj_person_oe.oe#status_id,,person_oe$oe_status,OE_STATUS_ID,btfg$code_collect_stat,1,-,
104,Organizational Entity,Organisational Entity Status Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,btfg$obj_person_oe.oe#status,,person_oe$oe_status_name,OE_STATUS_NAME,,1,-,
105,Organizational Entity,Party Channel ID,Avaloq Class,code_obj_class,Compiles to a varchar2(2000),,,btfg$obj_person_oe.oe#prty_chan_id,,person_oe$prty_chan,PRTY_CHAN_ID,,1,-,
106,Organizational Entity,Party Channel Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_person.extn.btfg$prty_chan.name,,person_oe$prty_chan_name,PRTY_CHAN_NAME,,1,-,
107,Organizational Entity,Distibution Channel ID,Avaloq Class,code_obj_class,Compiles to a varchar2(2000),,,btfg$obj_person_oe.oe#distr_chan_id,,person_oe$distr_channel,DISTR_CHANNEL_ID,,1,-,
108,Organizational Entity,Distibution Channel Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_person.extn.btfg$oe_distr_chan_id.name,,person_oe$distr_channel_name,DISTR_CHANNEL_NAME,,1,-,
109,Organizational Entity,Planner ID,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,btfg$obj_person_oe.oe#plnr_id,,person_oe$plnr,PLNR_ID,,1,-,
110,Organizational Entity,WOUP,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_person.extn.btfg$person_woup,WOUP,person_oe$woup,WOUP,,1,-,
111,Organizational Entity,Salary ID,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_person.extn.btfg$person_indv_id,Salary ID,person_oe$salary,SALARY_ID,,1,-,
112,Organizational Entity,Is Payable Party,Avaloq Class,code_obj_class,Compiles to a varchar2(2000),,,btfg$obj_person_oe.oe#is_pay_oe,,person_oe$is_pay_oe,IS_PAY_OE_ID,,1,-,
113,Organizational Entity,Is Payable Party name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_person.extn.btfg$is_pay_oe.name,,person_oe$is_pay_oe_name,IS_PAY_OE_NAME,,1,-,
114,Organizational Entity,Is Silo ID,Avaloq Class,code_obj_class,Compiles to a varchar2(2000),,,btfg$obj_person_oe.oe#is_silo,,person_oe$is_silo,IS_SILO_ID,,1,-,
115,Organizational Entity,Is Silo name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_person.extn.btfg$oe_is_silo.name,,person_oe$is_silo_name,IS_SILO_NAME,,1,-,
116,Organizational Entity,Is Pay anyone Allowed ID,Avaloq Class,code_obj_class,Compiles to a varchar2(2000),,,btfg$obj_person_oe.oe#is_payany_alw,,person_oe$is_pay_anyone_alw,IS_PAY_ANYONE_ALW_ID,,1,-,
117,Organizational Entity,Is Pay anyone Allowed Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_person.extn.btfg$is_payany_alw.name,,person_oe$is_pay_anyone_alw_name,IS_PAY_ANYONE_ALW_NAME,,1,-,
118,Organizational Entity,Is Linked Accounts Allowed ID,Avaloq Class,code_obj_class,Compiles to a varchar2(2000),,,btfg$obj_person_oe.oe#is_linked_acc_alw,,person_oe$is_linked_acc_alw,IS_LINKED_ACC_ALW_ID,,1,-,
119,Organizational Entity,Is Linked Accounts Allowed Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_person.extn.btfg$is_linked_acc_alw.name,,person_oe$is_linked_acc_alw_name,IS_LINKED_ACC_ALW_NAME,,1,-,
120,Organizational Entity,Is Bpay Allowed ID,Avaloq Class,code_obj_class,Compiles to a varchar2(2000),,,btfg$obj_person_oe.oe#is_bpay_alw,,person_oe$is_bpay_alw,IS_BPAY_ALW_ID,,1,-,
121,Organizational Entity,Is Bpay Allowed Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_person.extn.btfg$is_bpay_alw.name,,person_oe$is_bpay_alw_name,IS_BPAY_ALW_NAME,,1,-,
122,Organizational Entity,Organisational Entity Funds Under Administration,Avaloq DDIC Number,numeric,Compiles to a pls_integer or number,,,btfg$obj_person_oe.oe#fua,,person_oe$fua,FUA,,1,-,
123,Organizational Entity,Organisational Entity Active Accounts,Avaloq DDIC Number,numeric,Compiles to a pls_integer or number,,,btfg$obj_person_oe.oe#activ_acc_cnt,,person_oe$activ_acc,ACTIV_ACC,,1,-,
124,Organizational Entity,Is License Advice Fee Activated,Avaloq DDIC Boolean,bool,Compiles to a varchar2(1) or boolean,,,btfg$obj_person_oe.oe#has_dg_advcong_fee,,person_oe$has_dg_advcong_fee,HAS_DG_ADVCONG_FEE,,1,-,
125,Organizational Entity,Owner,LDM Object,btfg$code_ldm_obj,Logical Data Model Object,,,btfg$obj_person_oe.oe#owner_person_id,,person_oe$oe_pers_leg,OE_PERS_LEG_ID,person_legal_imed_ownr,1,-,
126,Organizational Entity,Owner Key,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,btfg$obj_person.person#person_sym,,person_oe$oe_pers_leg_key,OE_PERS_LEG_KEY,person$person_key,1,-,
127,Organizational Entity,Owner Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,btfg$obj_person.person#dflt_full_name,,person_oe$oe_pers_leg_name,OE_PERS_LEG_NAME,,1,-,
128,Organizational Entity,Owner GCM ID,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,btfg$obj_person.person#gcm_id,,person_oe$oe_pers_gcm,OE_PERS_GCM_ID,person$gcm,1,-,
129,Organizational Entity,Owner Open Date,Avaloq DDIC Date,date,Compiles to a date,,,btfg$obj_person.person#open_date,,person_oe$oe_pers_open_date,OE_PERS_OPEN_DATE,person$open_date,1,-,
130,Organizational Entity,Job ID,LDM Object,btfg$code_ldm_obj,Logical Data Model Object,,,btfg$obj_person_oe.oe#job_children_list_id,,person_oe$job,JOB_ID,profile,n,-,
131,Organizational Entity,Can Approve Offline,Avaloq Class,code_obj_class,Compiles to a varchar2(2000),,,btfg$obj_person_oe.oe#can_apprv_ol,,person_oe$oe_aprv_offline,OE_APRV_OFFLINE,,1,-,
132,Organizational Entity,Person Type Name,Avaloq Code Table,to be written,,Person Type Name,oe,btfg$obj_person.person#person_type,,person$person_type_name,PERSON_TYPE_NAME,code_obj_sub_type,1,-,
134,Organizational Entity,Object ID,LDM Object,btfg$code_ldm_obj,Logical Data Model Object,,,obj.id,,obj$obj_id,OBJ_ID,obj,1,+,
135,Organizational Entity,Open Date,Avaloq DDIC Date,date,Compiles to a date,,,obj.open_date,Opening date,obj$open_date,OPEN_DATE,,1,+,
136,Organizational Entity,Close Date,Avaloq DDIC Date,date,Compiles to a date,,,obj.close_date,Closing date,obj$close_date,CLOSE_DATE,,1,+,
137,Organizational Entity,Alpha-numeric sort value,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj.sort_alpha,Alpha-numeric sort value,obj$sort_alpha,SORT_ALPHA,,1,-,
138,Organizational Entity,Account,LDM Object,btfg$code_ldm_obj,Logical Data Model Object,,,obj_person.bp_person_rel_list.trg_obj_id,Returns the target object of the relation. The target object is always a person.,person$acc,ACC,acc,n,-,
139,Organizational Entity,Person ID,LDM Object,btfg$code_ldm_obj,Logical Data Model Object,,,obj_person.id,,person$person,PERSON_ID,person,1,+,
140,Organizational Entity,Involved Party Type,Avaloq Class,code_obj_class,Compiles to a varchar2(2000),,,obj_person.extn.btfg$ip_type_id,,person$ip_type,IP_TYPE,,1,+,
141,Organizational Entity,Involved Party Type Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_person.extn.btfg$ip_type.name,,person$ip_type_name,IP_TYPE_NAME,,1,+,
142,Organizational Entity,Person Key,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,btfg$obj_person.person#person_sym,,person$person_key,PERSON_KEY,,1,-,
143,Organizational Entity,Person External ID,LDM Object,btfg$code_ldm_obj,Logical Data Model Object,,,,,person$person_extl,PERSON_EXTL_ID,person,1,-,
144,Organizational Entity,Person modification sequence number,Avaloq DDIC Number,numeric,Compiles to a pls_integer or number,,,btfg$obj_person.person#modi_seq_nr,,person$person_modi_seq_nr,PERSON_MODI_SEQ_NR,,1,+,
145,Organizational Entity,Full Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,btfg$obj_person.person#dflt_full_name,,person$full_name,FULL_NAME,,1,+,
146,Organizational Entity,Full Name Auto,Avaloq DDIC Boolean,bool,Compiles to a varchar2(1) or boolean,,+,obj_person.person_name.full_name_a,Full Name Auto Flag,person$full_name_a,FULL_NAME_A,,1,+,
147,Organizational Entity,GCM ID,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,btfg$obj_person.person#gcm_id,,person$gcm,GCM_ID,,1,-,
148,Organizational Entity,GCM ID Auto,Avaloq DDIC Boolean,bool,Compiles to a varchar2(1) or boolean,,+,obj_person.extn.btfg$person_gcm_id_a,GCM Identifier,person$gcm_id_a,GCM_ID_A,,1,+,
149,Organizational Entity,Person Type ID,Avaloq Code Table,to be written,,,,btfg$obj_person.person#person_type_id,,person$person_type,PERSON_TYPE_ID,code_obj_sub_type,1,+,
