,System Name,Instance Name,Entity Name,Attribute Name,Owner,Parent,Type,Description,URL,Document Name,XPATH
17,Visual Map,Default,ADVISER DASHBOARD ,TERM DATA MATURITY ACCOUNT NAME,,,UI Field,For Account NameUse acc_id to retrieve the Account Name from the Client List cache.Client List IFS,,Visual Map - BP Fee Schedule.docx,
18,Visual Map,Default,ADVISER DASHBOARD ,DAYS TO MATURITY,,,UI Field,,,Visual Map - Asset Allocation.docx,
19,Visual Map,Default,ADVISER DASHBOARD ,TERM DEPOSIT BRAND LOGO,,,UI Field,TD logo can be retrieved from CMS using this identifier,,Visual Map - Corporate Action Details - Header and Summary.docx,
20,Visual Map,Default,ADVISER DASHBOARD ,TERM DEPOSIT PRINCIPAL VALUE,,,UI Field,,,,
21,Visual Map,Default,ADVISER DASHBOARD ,TERM DEPOSIT MATURITY DATE,,,UI Field,DateFld,,,
22,IFS,Default,ADD UPDATE NOTIFICATION MESSAGES,,,,Interface,,http://sharepoint.btfin.com/sites/trans/tech/architecture/Solution%20Design/Investment%20Platform/Web%20UI%20To%20Avaloq%20Integration/IFS/Add%20or%20Update%20Notification%20Messages%20-%20Web%20UI%20-%20Avaloq%20-%20IFS%20-%20Version_0.1.docx,,
23,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,OE,,,Attribute,Name of the Organisational Hierarchy,,,
24,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,OE_KEY,,,Attribute,Symbolic key for organisational entity,,,
25,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,OE_EBI_KEY,,,Attribute,Unique identifier for the organisational entity,,,
26,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,OE_PARENT_ID,,,Attribute,Unique internal Avaloq identifier for parent entity,,"Visual Map - Onboarding Application Tracking.docx
",
27,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,OE_PARENT_KEY,,,Attribute,Symbolic key for parent entity,,"Visual Map - Order Status and Cancel.docx
",
28,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,OE_TYPE_ID,,,Attribute,List of person organisational entity type,,"Visual Map_Tax Invoice.docx
",
29,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,OE_GCM_ID,,,Attribute,GCM id of the intermediary,,"Visual Map - Fee Revenue Statement.docx
",
30,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,OE_OPEN_DATE,,,Attribute,Open date of the intermediary,,Visual Map Portfolio performance screen.docx,
31,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,INTM_ENTITY_TYPE_ID,,,Attribute,"Intermediary Entity Type of OE which OE Type is Intermediary  e.g. Dealer Group, Office, Adviser Position ",,Visual Map - Saved,
32,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,DISTR_CHANNEL_ID,,,Attribute,List of distribution channels,,"Visual Map_Tax Invoice.docx
",
33,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,IS_PAYABLE_PARTY,,,Attribute,It is the identifier for advise fee to be payable to the OE ,,"Visual Map - Portfolio Valuation.docx
",
34,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,IS_SILO,,,Attribute,It is the identifier to restrict the information across silos,,Visual Map - SMSF External Holdings View.docx,
35,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,IS_PAY_ANYONE_ALW,,,Attribute,It is the identifier for the authority of adviser to client to determine whether pay anyone is allowed ,,Visual Map - Portfolio movements.docx,
36,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,IS_LINKED_ACC_ALW,,,Attribute,It is the identifier for the authority of adviser to client to determine whether linked accounts are allowed,,Visual Map for Blue Tray.docx,
37,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,IS_BPAY_ALW,,,Attribute,It is the identifier for the authority of adviser to client to determine whether linked accounts are allowed,,Visual Map - Manage Users (Intermediaries).docx,
38,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,IS_DIR_INVST,,,Attribute,An Identifier for a non advised Investor  ,,Visual Map Client Overview.docx,
39,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,PRTY_CHAN_ID,,,Attribute,List of party channels,,"Visual Map Port perf - Total  Account Performance Report.docx
",
40,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,FUA,,,Attribute,Funds under administration,,"Visual Map - Transaction History.docx
",
41,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,ACTIV_ACC,,,Attribute,Total number of all active accounts of the clients linked to the user,,Visual Map Client List.docx,
42,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,HAS_DG_ADVCONG_FEE,,,Attribute,Flag to indicate whether the licensee advice fee is active,,,
43,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,OE_PERS_LEG_ID,,,Attribute,Internal Avaloq identifier for legal person directly linked to the OE,,,
44,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,OE_PERS_LEG_KEY,,,Attribute,Symbolic key for legal person directly linked to the OE,,,
45,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,OE_PERS_LEG_NAME,,,Attribute,Name of the legal person directly linked to the OE,,,
46,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,OE_PERS_GCM_ID,,,Attribute,GCM id of the person directly linked to the OE,,,
47,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,OE_PERS_OPEN_DATE,,,Attribute,Open date of the person directly linked to the OE,,,
48,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,JOB_LIST,,,Attribute,List of jobs linked to the OE,,,
49,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,JOB_ID,,,Attribute,Internal Avaloq identifier for person of sub-type Job linked to the OE,,,
50,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,JOB_KEY,,,Attribute,Symbolic key for person of sub-type Job linked to the OE,,,
51,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,JOB_TYPE_ID,,,Attribute,List of person job types,,,
52,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,JOB_AUTH_LVL_ID,,,Attribute,List of person job authority level,,,
53,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,OE_JOB_AUTH_ROLE_ID,,,Attribute,Responsibility of Job to its OE,,,
54,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,JOB_USER_ID,,,Attribute,Internal Avaloq identifier for the job,,,
55,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,JOB_LAST_TRANS_TIMESTP,,,Attribute,Time stamp when the job was last modified or in absence of it created date,,,
56,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,JOB_PERS_ID,,,Attribute,Natural person linked to the job,,,
57,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,JOB_PERS_KEY,,,Attribute,Symbolic key for the job,,,
58,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,PERS_CIS_KEY,,,Attribute,Unique identifier on the natural person,,,
59,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,PERS_FIRST_NAME,,,Attribute,First name of the person linked to the job,,,
60,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,PERS_MIDDLE_NAME,,,Attribute,Middle name of the person linked to the job,,,
61,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,PERS_LAST_NAME,,,Attribute,Last name of the person linked to the job,,Visual Map Onboarding Client Search.docx,
62,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,PERSON_REG_ONLINE,,,Attribute,Flag for indication whether the user is registered online or not,,Visual Map Investment Management Fees – Managed Portfolios(Fee Schedule).docx,
63,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,PERS_GCM_ID,,,Attribute,GCM id of the person linked to the job,,IM dashboard - Monthly model report visual mapping.docx,
64,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,PERS_OPEN_DATE,,,Attribute,Open date of the person linked to the job,,"Visual Map Global Client and Account Search.docx
",
65,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,ADDR_LIST,,,Attribute,Address List,,"Visual Map - TD Maturity.docx
",
66,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,PERS_ADDR_ID,,,Attribute,Internal Avaloq identifier for the address id of person linked to job,,IM dashboard - daily model report visual mapping V1.docx,
67,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,PERS_ADDR_KEY,,,Attribute,Symbolic key for the address of person linked to  job,,IM dashboad - Model List visual mapping.docx,
68,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,PERS_FULL_ADDR,,,Attribute,Full address of person linked to job,,,
69,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,ADDR_CATG_ID,,,Attribute,List of address categories,,,
70,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,ADDR_KIND_ID,,,Attribute,List of address kinds,,,
71,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,ADDR_MEDIUM_ID,,,Attribute,List of address medium ,,,
72,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,ELEC_ADDR,,,Attribute,Electronic address,,,
73,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,IS_MAIL,,,Attribute,  It is the identifier for address when your mailing address is your postal address,,,
74,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,IS_DOMI,,,Attribute,It is the identifier for address when your domicile  residential  address is your postal address,,,
75,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,CTY_ID,,,Attribute,List of countries,,,
76,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,CARE_OF,,,Attribute,,,,
77,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,UNIT_NR,,,Attribute,Unit Number,,,
78,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,FLOOR_NR,,,Attribute,Floor Number,,,
79,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,STREET_NR,,,Attribute,Street Number,,,
80,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,STREET_NAME,,,Attribute,Street Name,,,
81,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,STREET_TYPE_ID,,,Attribute,List of street types,,,
82,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,BUILDING_NAME,,,Attribute,Building name,,,
83,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,SUBURB,,,Attribute,Suburd name,,,
84,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,STATE_ID,,,Attribute,List of country state types,,,
85,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,ZIP,,,Attribute,Zip code for the suburb,,,
86,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,BOX_ADDR_TYPE_ID,,,Attribute,List of box address types,,,
87,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,PO_BOX,,,Attribute,Post box number,,,
88,IFS,Default,ORGANISATIONAL ENTITY HIERARCHY IFS,CITY,,,Attribute,Name of the city,,,
89,IFS,Default,ADVISER DASHBOARD MONITOR _  PERFORMANCE,,,,Interface,This interface is a report service that supports the Adviser Dashboard - Monitor web page. It provides performance data for all clients advised by a specified adviser for a particular date range.,http://sharepoint.btfin.com/sites/trans/tech/architecture/Solution%20Design/Investment%20Platform/Web%20UI%20To%20Avaloq%20Integration/IFS/Adviser%20Dashboard%20Monitor%20-%20Perf%20-%20Web%20UI%20-%20Avaloq%20-%20IFS%20-%20Version_0.1.docx,,
90,IFS,Default,CLIENT SEARCH LIST IFS,BPHEAD/ACC_ID,,,Attribute,Account Id,,,
91,IFS,Default,CLIENT SEARCH LIST IFS,BPHEAD/ACC_NAME,,,Attribute,Account Name,,,
92,IFS,Default,CLIENT SEARCH LIST IFS,BPHEAD/BP_ACC_STRUCT_TYPE_ID,,,Attribute,List of customer account structure types,,,
93,IFS,Default,CLIENT SEARCH LIST IFS,BPHEAD/BP_ACC_PROD_ID,,,Attribute,Product Id,,,
94,IFS,Default,CLIENT SEARCH LIST IFS,BPHEAD/BP_ACC_STATUS_ID,,,Attribute,Status of the client’s account,,,
95,IFS,Default,CLIENT SEARCH LIST IFS,BPHEAD/BP_ADVISER_ID,,,Attribute,Adviser Id,,,
96,IFS,Default,CLIENT SEARCH LIST IFS,BPHEAD/BP_AVSR_FNAME,,,Attribute,Adviser first name ,,,
97,IFS,Default,CLIENT SEARCH LIST IFS,BPHEAD/BP_AVSR_LNAME,,,Attribute,Adviser last name,,,
98,IFS,Default,CLIENT SEARCH LIST IFS,BPHEAD/BP_AVSR_PERMISSION,,,Attribute,Permission the adviser has for each account,,,
99,IFS,Default,CLIENT SEARCH LIST IFS,BPHEAD/BP_CASH_VAL,,,Attribute,Available cash at the account level,,,
100,IFS,Default,CLIENT SEARCH LIST IFS,BPHEAD/BP_PORTF_VAL,,,Attribute,Portfolio value at account level,,,
101,IFS,Default,CLIENT SEARCH LIST IFS,PERSONHEAD/INVSTR,,,Attribute,Investor id,,,
102,IFS,Default,CLIENT SEARCH LIST IFS,PERSONHEAD/INVSTR,,,Attribute,Investor Account owner full name to use in case of a Legal Person ,,,
103,IFS,Default,CLIENT SEARCH LIST IFS,PERSONHEAD/INVSTR_FNAME,,,Attribute,Investor account owner first name in case of Natural Person,,,
104,IFS,Default,CLIENT SEARCH LIST IFS,PERSONHEAD/INVSTR_LNAME,,,Attribute,Investor account owner name in case of Individual,,,
105,IFS,Default,CLIENT SEARCH LIST IFS,PERSONHEAD/INVSTR_TYPE_ID,,,Attribute,Investor Type,,,
106,IFS,Default,CLIENT SEARCH LIST IFS,PERSONHEAD/INVSTR_DOM_STATE_ID,,,Attribute,Domicile/Registered state of the Investor,,,
107,IFS,Default,CLIENT SEARCH LIST IFS,PERSONHEAD/INVSTR_DOM_COUNTRY_ID,,,Attribute,Domicile Country of the Investor,,,
108,IFS,Default,CLIENT SEARCH LIST IFS,REL_PERSON_LIST,,,Attribute,"Aggregated field, list of all investors .legal or natural persons associated with the account owner ",,,
109,IFS,Default,CLIENT SEARCH LIST IFS,REL_PERSON/ASSOC_PERSON,,,Attribute,Associated investor id,,,
110,IFS,Default,CLIENT SEARCH LIST IFS,REL_PERSON/ASSOC_PERSON,,,Attribute,Associated Investor full name to use in case of a Legal Person Company corporate trustee of a trust,,,
111,IFS,Default,CLIENT SEARCH LIST IFS,REL_PERSON/REL_TYPE,,,Attribute,List of person associated role types,,,
112,IFS,Default,CLIENT SEARCH LIST IFS,REL_PERSON/INVSTR_FNAME,,,Attribute,Investor account owner first name in case of Natural Person,,,
113,IFS,Default,CLIENT SEARCH LIST IFS,REL_PERSON/INVSTR_LNAME,,,Attribute,Investor account owner name in case of Individual,,,
114,IFS,Default,CLIENT SEARCH LIST IFS,REL_PERSON/INVSTR_TYPE_ID,,,Attribute,Investor Type,,,
115,IFS,Default,CLIENT SEARCH LIST IFS,REL_PERSON/INVSTR_DOM_STATE_ID,,,Attribute,Domicile/Registered state of the Investor,,,
116,IFS,Default,CLIENT SEARCH LIST IFS,REL_PERSON/INVSTR_DOM_COUNTRY_ID,,,Attribute,Domicile Country of the Investor,,,
117,IFS,Default,CLIENT SEARCH LIST IFS,CONTLIST,,,Attribute,Aggregated field for container details,,,
118,IFS,Default,CLIENT SEARCH LIST IFS,CONTLIST/CONT_ID,,,Attribute,Id of a container,,,
119,IFS,Default,CLIENT SEARCH LIST IFS,CONTLIST/CONT_NAME,,,Attribute,Name of the container,,,
120,IFS,Default,CLIENT SEARCH LIST IFS,CONTLIST/CONT_TYPE_ID,,,Attribute, Id for an container type,,,
121,IFS,Default,CLIENT SEARCH LIST IFS,CONTLIST/PROD_ID,,,Attribute,Product for the container,,,
122,IFS,Default,CLIENT SEARCH LIST IFS,CONTLIST/IPS_ID,,,Attribute,Investment policy statement,,,
123,IFS,Default,ADVISER DASHBOARD MONITOR _ PERF PV BY BAND,,,,Interface,This interface is a report service that supports the Adviser Dashboard - Monitor web page. It returns the FUA (Funds Under Administration) as of end of day the previous day by predefined portfolio value bands for a specified adviser. ,http://sharepoint.btfin.com/sites/trans/tech/architecture/Solution%20Design/Investment%20Platform/Web%20UI%20To%20Avaloq%20Integration/IFS/Adviser%20Dashboard%20Monitor%20-%20Perf%20PV%20by%20Band%20-%20Web%20UI%20-%20Avaloq%20-%20IFS%20-%20Version_0.1.docx,,
124,IFS,Default,NOTIFICATION MESSAGES IFS,NTFCN_ID,,,Attribute,Notification ID,,,
125,IFS,Default,NOTIFICATION MESSAGES IFS,TIMESTAMP,,,Attribute,Timestamp,,,
126,IFS,Default,NOTIFICATION MESSAGES IFS,VALID_TO,,,Attribute, Valid To,,,
127,IFS,Default,NOTIFICATION MESSAGES IFS,RESP_SEC_USER_ID,,,Attribute,Responsible User ID,,,
128,IFS,Default,NOTIFICATION MESSAGES IFS,RECP_SEC_USER_ID,,,Attribute,Recipient ID -person who will be receiving notifications,,,
129,IFS,Default,NOTIFICATION MESSAGES IFS,EVENT_TYPE_ID,,,Attribute, Event Type ID -list of notification event types,,,
130,IFS,Default,NOTIFICATION MESSAGES IFS,EVENT_TYPE_PRIO,,,Attribute, Priority- priority level of the notification depending upon event type,,,
131,IFS,Default,NOTIFICATION MESSAGES IFS,NTFCN_STATUS_ID,,,Attribute," Notification Status ID -the current status of the notification  has been read, unread or deleted ",,,
132,IFS,Default,NOTIFICATION MESSAGES IFS,TRIG_OBJ_ID,,,Attribute,Triggering Object ID,,,
133,IFS,Default,NOTIFICATION MESSAGES IFS,CTX_DOC_ID,,,Attribute,Order ID,,,
134,IFS,Default,NOTIFICATION MESSAGES IFS,MSG_TEXT,,,Attribute, Message Text,,,
135,IFS,Default,NOTIFICATION MESSAGES IFS,MSG_CAT_ID,,,Attribute,Notification Category ID – list of notification category types,,,
136,IFS,Default,NOTIFICATION MESSAGES IFS,MSG_SUBCAT_ID,,,Attribute,Notification Sub Category ID – list of notification category types,,,
137,IFS,Default,NOTIFICATION MESSAGES IFS,MSG_AVSR_CTR_ID,,,Attribute,Message Adviser Center ID – list of adviser message center notification types,,,
138,IFS,Default,NOTIFICATION MESSAGES IFS,IS_ADVSR_DSHBRD,,,Attribute,Is Adviser Dashboard Message -flag to signify threshold.,,,
139,IFS,Default,NOTIFICATION MESSAGES IFS,BP_ID,,,Attribute,Business Partner ID,,,
140,IFS,Default,NOTIFICATION MESSAGES IFS,OWNER_TYPE_ID,,,Attribute,Owner Type ID – account structure type,,,
141,IFS,Default,NOTIFICATION MESSAGES IFS,MACC_NR,,,Attribute, MACC Number,,,
142,IFS,Default,NOTIFICATION MESSAGES IFS,PERSON_ID,,,Attribute,Person ID,,,
143,IFS,Default,ADVISER TOP 10 BP BY CASH VALUE,,,,Interface,This interface is a report service that supports the Adviser Dashboard - Monitor web page.It will return the top 10 Client Accounts for a specified Adviser by Cash Value.,http://sharepoint.btfin.com/sites/trans/tech/architecture/Solution%20Design/Investment%20Platform/Web%20UI%20To%20Avaloq%20Integration/IFS/Adviser%20Top%20BP%20accounts%20by%20Cash%20Value%20-%20Web%20UI%20-%20Avaloq%20-%20IFS%20-%20Version_0.1.docx,,
144,IFS,Default,SAVED ORDERS IFS,ORDER GROUP DETAILS,,,Attribute,The list of saved order groups that match the search criteria,,,
145,IFS,Default,SAVED ORDERS IFS,ORDER ID,,,Attribute,Avaloq unique identifier for individual order,,,
146,IFS,Default,SAVED ORDERS IFS,DESCRIPTION,,,Attribute,A free text description of the order group that has been entered by the user.,,,
147,IFS,Default,SAVED ORDERS IFS,LAST SAVED,,,Attribute,Timestamp of the last time the order group was saved.,,,
148,IFS,Default,SAVED ORDERS IFS,SAVED BY,,,Attribute,The Avaloq user ID of the user who saved this order group.,,,
149,IFS,Default,SAVED ORDERS IFS,ORDER GROUP TYPE,,,Attribute,This identifies if the order group is for a buy/sell or a switch.,,,
150,IFS,Default,SAVED ORDERS IFS,ACCOUNT ID,,,Attribute,Avaloq unique identifier for the client account,,,
151,IFS,Default,SAVED ORDERS IFS,CONTAINER ID,,,Attribute,Avaloq unique identifier for the container,,,
152,IFS,Default,ADVISER TOP 10 BP BY PORTFOLIO VALUE,,,,Interface,This interface is a report service that supports the Adviser Dashboard - Monitor web page.It will return the top 10 Client Accounts for a specified Adviser by Portfolio Value.,http://sharepoint.btfin.com/sites/trans/tech/architecture/Solution%20Design/Investment%20Platform/Web%20UI%20To%20Avaloq%20Integration/IFS/Adviser%20Top%20BP%20accounts%20-%20Web%20UI%20-%20Avaloq%20-%20IFS%20-%20Version_0.1.docx,,
153,IFS,Default,MATURING TERM DEPOSITS IFS,SOP,,,Attribute,Start of Period,,,
154,IFS,Default,MATURING TERM DEPOSITS IFS,EOP,,,Attribute,End of Period,,,
155,IFS,Default,MATURING TERM DEPOSITS IFS,AVSR_ID,,,Attribute,Adviser identifier,,,
156,IFS,Default,MATURING TERM DEPOSITS IFS,AVSR_ORA_ID,,,Attribute,Adviser Oracle identifier,,,
157,IFS,Default,MATURING TERM DEPOSITS IFS,AVSR_GCM_ID,,,Attribute,Adviser GCM identifier,,,
158,IFS,Default,MATURING TERM DEPOSITS IFS,AVSR_STATE_ID,,,Attribute,Adviser State identifier,,,
159,IFS,Default,MATURING TERM DEPOSITS IFS,PROD_ID,,,Attribute,ProductIdentifier,,,
160,IFS,Default,MATURING TERM DEPOSITS IFS,ACC_ID,,,Attribute,Account identifier,,,
161,IFS,Default,MATURING TERM DEPOSITS IFS,ACC_NR,,,Attribute,Account number,,,
162,IFS,Default,MATURING TERM DEPOSITS IFS,ACC_TYPE_ID,,,Attribute,Account Type identifier,,,
163,IFS,Default,MATURING TERM DEPOSITS IFS,MACC_NO,,,Attribute,Money account number,,,
164,IFS,Default,MATURING TERM DEPOSITS IFS,TD_BRAND_ID,,,Attribute,TD brand Id,,,
165,IFS,Default,MATURING TERM DEPOSITS IFS,TD_INTR_RATE,,,Attribute,TD interest rate,,,
166,IFS,Default,MATURING TERM DEPOSITS IFS,TD_INTR_PAY_FREQ,,,Attribute,TD interest payment frequency,,,
167,IFS,Default,MATURING TERM DEPOSITS IFS,TD_TERM_MTH,,,Attribute,TD term in month,,,
168,IFS,Default,MATURING TERM DEPOSITS IFS,TD_TERM_YEAR,,,Attribute,TD term in year,,,
169,IFS,Default,MATURING TERM DEPOSITS IFS,TD_MATURITY_INSTR,,,Attribute,TD maturity instruction,,,
170,IFS,Default,MATURING TERM DEPOSITS IFS,TD_MATURITY_DATE,,,Attribute,TD maturity date,,,
171,IFS,Default,MATURING TERM DEPOSITS IFS,DAYS_TO_MATURITY,,,Attribute,Days to maturity,,,
172,IFS,Default,MATURING TERM DEPOSITS IFS,TD_PRPL_VAL,,,Attribute,TD principal value,,,
173,IFS,Default,MATURING TERM DEPOSITS IFS,TD_OPEN_DATE,,,Attribute,TD open date,,,
174,IFS,Default,MATURING TERM DEPOSITS IFS,TD_CLOSE_DATE,,,Attribute,TD close date,,,
175,ABS Dev,XSD,BTFG$UI_OE_STRUCT.PERSON#HIRA,,ABS,,Class,,,,
176,ABS Dev,XSD,BTFG$UI_OE_STRUCT.PERSON#HIRA,OE,ABS,,Attribute,Name of the Organisational Hierarchy,,,"rep/Data/PersonList/Person/PersonHeadList/PersonHead/oe/annot/ctx/id
rep/Data/PersonList/Person/PersonHeadList/PersonHead/oe/val
"
177,ABS Dev,XSD,BTFG$UI_OE_STRUCT.PERSON#HIRA,OE_KEY,ABS,,Attribute,Symbolic key for organisational entity,,,rep/Data/PersonList/Person/PersonHeadList/PersonHead/oe_key/val
178,ABS Dev,XSD,BTFG$UI_OE_STRUCT.PERSON#HIRA,OE_EBI_KEY,ABS,,Attribute,Unique identifier for the organisational entity,,,rep/Data/PersonList/Person/PersonHeadList/PersonHead/oe_ebi_key/val
179,ABS Dev,XSD,BTFG$UI_OE_STRUCT.PERSON#HIRA,OE_PARENT_ID,ABS,,Attribute,Unique internal Avaloq identifier for parent entity,,,rep/Data/PersonList/Person/PersonHeadList/PersonHead/oe_parent_id/id
180,ABS Dev,XSD,BTFG$UI_OE_STRUCT.PERSON#HIRA,OE_PARENT_KEY,ABS,,Attribute,Symbolic key for parent entity,,,rep/Data/PersonList/Person/PersonHeadList/PersonHead/oe_parent_key/val
181,ABS Dev,XSD,BTFG$UI_OE_STRUCT.PERSON#HIRA,OE_TYPE_ID,ABS,,Attribute,List of person organisational entity type,,,rep/Data/PersonList/Person/PersonHeadList/PersonHead/oe_type_id/id
182,ABS Dev,XSD,BTFG$UI_OE_STRUCT.PERSON#HIRA,OE_GCM_ID,ABS,,Attribute,GCM id of the intermediary,,,rep/Data/PersonList/Person/PersonHeadList/PersonHead/oe_gcm_id/vak
183,ABS Dev,XSD,BTFG$UI_OE_STRUCT.PERSON#HIRA,OE_OPEN_DATE,ABS,,Attribute,Open date of the intermediary,,,rep/Data/PersonList/Person/PersonHeadList/PersonHead/oe_open_date/val
184,ABS Dev,XSD,BTFG$UI_OE_STRUCT.PERSON#HIRA,INTM_ENTITY_TYPE_ID,ABS,,Attribute,"Intermediary Entity Type of OE which OE Type is Intermediary  e.g. Dealer Group, Office, Adviser Position ",,,rep/Data/PersonList/Person/PersonHeadList/PersonHead/intm_entity_type_id/id
