Source System Name,Source Instance Name,Source Entity Name,Source Attribute Name,Target System Name,Target Instance Name,Target Entity Name,Target Attribute Name,Attribute Description,Business Rule,Transformation_Mapping rule,Comments,Mapping Name,Action,Last_Update_Date,Modified_By
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS,BPAY NAME,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS_MDR_VM,BPAY NAME,,Direct,BPay name,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS,CRN,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS_MDR_VM,CRN,,Direct,CRN number of BPay,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS,LINKED ACCOUNT BSB,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS_MDR_VM,LINKED ACCOUNT BSB,,Direct,BSB of Linked Account,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS,LINKED ACCOUNT NAME,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS_MDR_VM,LINKED ACCOUNT NAME,,Direct,Linked account Name,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS,LINKED ACCOUNT NICK NAME,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS_MDR_VM,LINKED ACCOUNT NICK NAME,,Direct,Linked account Nick name,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS,LINKED ACCOUNT NUMBER,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS_MDR_VM,LINKED ACCOUNT NUMBER,,Direct,Linked account number,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS,PAY ANYONE ACCOUNT,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS_MDR_VM,PAY ANYONE ACCOUNT,,Direct,Pay anyone account number,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS,PAY ANYONE BSB,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS_MDR_VM,PAY ANYONE BSB,,Direct,BSB of Pay anyone account,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS,PAY ANYONE NAME,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS_MDR_VM,PAY ANYONE NAME,,Direct,Pay anyone account name,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS,PAY ANYONE NICK NAME,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS_MDR_VM,PAY ANYONE NICK NAME,,Direct,Pay anyone account nick name,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS_MDR_VM,BILLER CODE,IFS,Default,BP DETAILS IFS,REG_BILLER_PAYEE_ACC,,Direct,Biller code of BPay,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS_MDR_VM,BILLER NICK NAME,IFS,Default,BP DETAILS IFS,REG_BILLER_ACC_NICK_NAME,,Direct,Nick name of BPay,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS_MDR_VM,BPAY NAME,IFS,Default,BP DETAILS IFS,REG_BILLER_ACC_NAME,,Direct,BPay name,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS_MDR_VM,CRN,IFS,Default,BP DETAILS IFS,REG_BILLER_PAYEE_IDENT,,Direct,CRN number of BPay,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS_MDR_VM,LINKED ACCOUNT BSB,IFS,Default,BP DETAILS IFS,LINKED_ACC_BSB,,Direct,BSB of Linked Account,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS_MDR_VM,LINKED ACCOUNT NAME,IFS,Default,BP DETAILS IFS,LINKED_ACC_NAME,,Direct,Linked account Name,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS_MDR_VM,LINKED ACCOUNT NICK NAME,IFS,Default,BP DETAILS IFS,LINKED_ACC_NICK_NAME,,Direct,Linked account Nick name,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS_MDR_VM,LINKED ACCOUNT NUMBER,IFS,Default,BP DETAILS IFS,LINKED_ACC_NR,,Direct,Linked account number,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS_MDR_VM,PAY ANYONE ACCOUNT,IFS,Default,BP DETAILS IFS,REG_PAYEE_PAYEE_ACC,,Direct,Pay anyone account number,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS_MDR_VM,PAY ANYONE BSB,IFS,Default,BP DETAILS IFS,REG_PAYEE_PAYEE_IDENT,,Direct,BSB of Pay anyone account,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS_MDR_VM,PAY ANYONE NAME,IFS,Default,BP DETAILS IFS,REG_PAYEE_ACC_NAME,,Direct,Pay anyone account name,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS_MDR_VM,PAY ANYONE NICK NAME,IFS,Default,BP DETAILS IFS,REG_PAYEE_ACC_NICK_NAME,,Direct,Pay anyone account nick name,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT,ACCOUNT,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT_MDR_VM,ACCOUNT,,Direct,Payers account number,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT,AMOUNT,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT_MDR_VM,AMOUNT,,Direct,Amount to be deposit,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT,BSB,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT_MDR_VM,BSB,,Direct,BSB number of account,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT,DATE,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT_MDR_VM,DATE,,Direct,Transaction date,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT,DESCRIPTION,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT_MDR_VM,DESCRIPTION,,Direct,Description of beneficiary,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT,END REPEATS,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT_MDR_VM,END REPEATS,,Direct,End date,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT,RECEIPT NO,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT_MDR_VM,RECEIPT NO,,Direct,Receipt number of transaction,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT,REPEAT DEPOSIT,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT_MDR_VM,REPEAT DEPOSIT,,Direct,Frequency of transaction,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT,REPEAT EVERY,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT_MDR_VM,REPEAT EVERY,,Direct,Start date,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT_MDR_VM,ACCOUNT,IFS,Default,CLIENT ONBOARDING APPLICATION TRACKING,PAYER_ACC,,Direct,Payers account number,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT_MDR_VM,AMOUNT,IFS,Default,CLIENT ONBOARDING APPLICATION TRACKING,AMOUNT,,Derived,Amount to be deposit,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT_MDR_VM,BSB,IFS,Default,CLIENT ONBOARDING APPLICATION TRACKING,BSB,,Direct,BSB number of account,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT_MDR_VM,DATE,IFS,Default,CLIENT ONBOARDING APPLICATION TRACKING,TRX_DATE,,Direct,Transaction date,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT_MDR_VM,DESCRIPTION,IFS,Default,CLIENT ONBOARDING APPLICATION TRACKING,BENEF_NF_NR,,Derived,Description of beneficiary,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT_MDR_VM,END REPEATS,IFS,Default,CLIENT ONBOARDING APPLICATION TRACKING,CONTR_PERIOD_END,,Direct,End date,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT_MDR_VM,RECEIPT NO,IFS,Default,CLIENT ONBOARDING APPLICATION TRACKING,DATA,,Derived,Receipt number of transaction,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT_MDR_VM,REPEAT DEPOSIT,IFS,Default,CLIENT ONBOARDING APPLICATION TRACKING,CONTR_PERIOD,,Direct,Frequency of transaction,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A DEPOSIT_MDR_VM,REPEAT EVERY,IFS,Default,CLIENT ONBOARDING APPLICATION TRACKING,CONTR_PERIOD_START,,Direct,Start date,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT,DESCRIPTION,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT_MDR_VM,DESCRIPTION,,Direct,Description,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT,END DATE,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT_MDR_VM,END DATE,,Direct,End date of transaction,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT,FROM ACCOUNT NAME,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT_MDR_VM,FROM ACCOUNT NAME,,Direct,Name of account from payment is done,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT,MAKE PAYMENT TO ACCOUNT,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT_MDR_VM,MAKE PAYMENT TO ACCOUNT,,Direct,Account number of payee,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT,MAKE PAYMENT TO BSB,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT_MDR_VM,MAKE PAYMENT TO BSB,,Direct,BSB of payee account,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT,MAKE PAYMENT TO NAME,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT_MDR_VM,MAKE PAYMENT TO NAME,,Direct,Name of payee,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT,RECEIPT NO,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT_MDR_VM,RECEIPT NO,,Direct,Receipt number of transaction,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT,REPEAT EVERY,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT_MDR_VM,REPEAT EVERY,,Direct,Frequency,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT,START DATE,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT_MDR_VM,START DATE,,Direct,Start date of payment,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT_MDR_VM,DESCRIPTION,IFS,Default,BP DETAILS IFS,BENEF_INFO,,Direct,Description,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT_MDR_VM,END DATE,IFS,Default,BP DETAILS IFS,STORD_PERIOD_END,,Direct,End date of transaction,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT_MDR_VM,FROM ACCOUNT NAME,IFS,Default,BP DETAILS IFS,ACC_NAME,,Derived,Name of account from payment is done,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT_MDR_VM,MAKE PAYMENT TO ACCOUNT,IFS,Default,BP DETAILS IFS,BENEF_ACC,,Direct,Account number of payee,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT_MDR_VM,MAKE PAYMENT TO BSB,IFS,Default,BP DETAILS IFS,BSB,,Direct,BSB of payee account,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT_MDR_VM,MAKE PAYMENT TO NAME,IFS,Default,BP DETAILS IFS,PAYEE_NAME,,Direct,Name of payee,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT_MDR_VM,RECEIPT NO,IFS,Default,BP DETAILS IFS,DATA,,Derived,Receipt number of transaction,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT_MDR_VM,REPEAT EVERY,IFS,Default,BP DETAILS IFS,STORD_PERIOD,,Direct,Frequency,,,,,
Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - MAKE A PAYMENT_MDR_VM,START DATE,IFS,Default,BP DETAILS IFS,STORD_PERIOD_START,,Direct,Start date of payment,,,,,
UX Sitemap,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS,ACCOUNT NUMBER/HIN,Visual Map,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS_MDR_VM,ACCOUNT NUMBER/HIN,,Direct,Account Number or HIN,,,,,
UX Sitemap,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS,ASSET NAME,Visual Map,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS_MDR_VM,ASSET NAME,,Direct,Name of asset,,,,,
UX Sitemap,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS,ASSET STATUS,Visual Map,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS_MDR_VM,ASSET STATUS,,Direct,Asset Status,,,,,
UX Sitemap,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS,ASSET TYPE,Visual Map,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS_MDR_VM,ASSET TYPE,,Direct,Asset Type,,,,,
UX Sitemap,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS,CHANGE OF BENEFICIAL OWNERSHIP,Visual Map,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS_MDR_VM,CHANGE OF BENEFICIAL OWNERSHIP,,Direct,Is there any change in beneficial ownership,,,,,
UX Sitemap,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS,CHESS SPONSOR NAME,Visual Map,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS_MDR_VM,CHESS SPONSOR NAME,,Direct,Sponsor Name,,,,,
UX Sitemap,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS,ORDER STATUS,Visual Map,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS_MDR_VM,ORDER STATUS,,Direct,Order Status,,,,,
UX Sitemap,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS,QUANTITY,Visual Map,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS_MDR_VM,QUANTITY,,Direct,Qunatity to be transferred,,,,,
UX Sitemap,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS,TRANSFER DESTINATION,Visual Map,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS_MDR_VM,TRANSFER DESTINATION,,Direct,Transferred to,,,,,
UX Sitemap,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS,TRANSFER ID,Visual Map,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS_MDR_VM,TRANSFER ID,,Direct,Transfer Id generated while asset craetion,,,,,
UX Sitemap,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS,TRANSFER TIME,Visual Map,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS_MDR_VM,TRANSFER TIME,,Direct,Time of Transfer ID generation,,,,,
UX Sitemap,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS,WHERE CURRENTLY HELD,Visual Map,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS_MDR_VM,WHERE CURRENTLY HELD,,Direct,Where it is held,,,,,
Visual Map,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS_MDR_VM,ACCOUNT NUMBER/HIN,IFS,Default,ORDER STATUS,XFER_SRN_HIN,,Direct,Account Number or HIN,,,,,
Visual Map,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS_MDR_VM,ASSET NAME,IFS,Default,ORDER STATUS,SETTLE_ASSET_ID,,Direct,Name of asset,,,,,
Visual Map,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS_MDR_VM,ASSET STATUS,IFS,Default,ORDER STATUS,,,Derived,Asset Status,,,,,
Visual Map,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS_MDR_VM,ASSET TYPE,IFS,Default,ORDER STATUS,XFER_TYPE_ID,,Direct,Asset Type,,,,,
Visual Map,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS_MDR_VM,CHANGE OF BENEFICIAL OWNERSHIP,IFS,Default,ORDER STATUS,XFER_CBO_TYPE_ID,,Direct,Is there any change in beneficial ownership,,,,,
Visual Map,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS_MDR_VM,CHESS SPONSOR NAME,IFS,Default,ORDER STATUS,XFER_CHESS_PID,,Direct,Sponsor Name,,,,,
Visual Map,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS_MDR_VM,ORDER STATUS,IFS,Default,ORDER STATUS,SETTLE_WFS_ID,,Derived,Order Status,,,,,
Visual Map,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS_MDR_VM,QUANTITY,IFS,Default,ORDER STATUS,SETTLE_QTY,,Direct,Qunatity to be transferred,,,,,
Visual Map,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS_MDR_VM,TRANSFER DESTINATION,IFS,Default,ORDER STATUS,,,Direct,Transferred to,,,,,
Visual Map,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS_MDR_VM,TRANSFER ID,IFS,Default,ORDER STATUS,DOC_ID,,Derived,Transfer Id generated while asset craetion,,,,,
Visual Map,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS_MDR_VM,TRANSFER TIME,IFS,Default,ORDER STATUS,SETTLE_LAST_TRX_TIMESTP,,Derived,Time of Transfer ID generation,,,,,
Visual Map,Default,ACCOUNT-ASSET TRANSFERS-TRANSFER STATUS_MDR_VM,WHERE CURRENTLY HELD,IFS,Default,ORDER STATUS,XFER_CUST,,Direct,Where it is held,,,,,
UX Sitemap,Default,ACCOUNT-INCOME ACCRUED,CASH,Visual Map,Default,ACCOUNT-INCOME ACCRUED_MDR_VM,CASH,,Direct,Cash Asset,,,,,
UX Sitemap,Default,ACCOUNT-INCOME ACCRUED,CASH AMOUNT,Visual Map,Default,ACCOUNT-INCOME ACCRUED_MDR_VM,CASH AMOUNT,,Direct,Cash Amount,,,,,
UX Sitemap,Default,ACCOUNT-INCOME ACCRUED,PAYMENT DATE,Visual Map,Default,ACCOUNT-INCOME ACCRUED_MDR_VM,PAYMENT DATE,,Direct,Payment Date,,,,,
UX Sitemap,Default,ACCOUNT-INCOME ACCRUED,REFERENCE DATE,Visual Map,Default,ACCOUNT-INCOME ACCRUED_MDR_VM,REFERENCE DATE,,Direct,Reference Date,,,,,
UX Sitemap,Default,ACCOUNT-INCOME ACCRUED,TERM DEPOSIT,Visual Map,Default,ACCOUNT-INCOME ACCRUED_MDR_VM,TERM DEPOSIT,,Direct,Term Deposit Asset,,,,,
UX Sitemap,Default,ACCOUNT-INCOME ACCRUED,TERM DEPOSIT INTEREST,Visual Map,Default,ACCOUNT-INCOME ACCRUED_MDR_VM,TERM DEPOSIT INTEREST,,Direct,Term Deposit Interest,,,,,
UX Sitemap,Default,ACCOUNT-INCOME ACCRUED,TOTAL INCOME ACCRUED,Visual Map,Default,ACCOUNT-INCOME ACCRUED_MDR_VM,TOTAL INCOME ACCRUED,,Direct,Total income accrued,,,,,
Visual Map,Default,ACCOUNT-INCOME ACCRUED_MDR_VM,CASH,IFS,Default,POSITION VALUATION,POS_NAME,,Direct,Cash Asset,,,,,
Visual Map,Default,ACCOUNT-INCOME ACCRUED_MDR_VM,CASH AMOUNT,IFS,Default,POSITION VALUATION,ACCR_REF,,Derived,Cash Amount,,,,,
Visual Map,Default,ACCOUNT-INCOME ACCRUED_MDR_VM,PAYMENT DATE,IFS,Default,POSITION VALUATION,NEXT_INTR_DATE,,Derived,Payment Date,,,,,
Visual Map,Default,ACCOUNT-INCOME ACCRUED_MDR_VM,REFERENCE DATE,IFS,Default,POSITION VALUATION,REF_DATE,,Direct,Reference Date,,,,,
Visual Map,Default,ACCOUNT-INCOME ACCRUED_MDR_VM,TERM DEPOSIT,IFS,Default,POSITION VALUATION,POS_NAME,,Direct,Term Deposit Asset,,,,,
Visual Map,Default,ACCOUNT-INCOME ACCRUED_MDR_VM,TERM DEPOSIT INTEREST,IFS,Default,POSITION VALUATION,ACCR_REF,,Direct,Term Deposit Interest,,,,,
Visual Map,Default,ACCOUNT-INCOME ACCRUED_MDR_VM,TOTAL INCOME ACCRUED,IFS,Default,POSITION VALUATION,ACCR_REF,,Derived,Total income accrued,,,,,
UX Sitemap,Default,ACCOUNT-INCOME RECEIVED,CASH AMOUNT,Visual Map,Default,ACCOUNT-INCOME RECEIVED_MDR_VM,CASH AMOUNT,,Direct,Cash Amount,,,,,
UX Sitemap,Default,ACCOUNT-INCOME RECEIVED,CASH DESCRIPTION,Visual Map,Default,ACCOUNT-INCOME RECEIVED_MDR_VM,CASH DESCRIPTION,,Direct,Cash Description,,,,,
UX Sitemap,Default,ACCOUNT-INCOME RECEIVED,DATE FROM,Visual Map,Default,ACCOUNT-INCOME RECEIVED_MDR_VM,DATE FROM,,Direct,Date From,,,,,
UX Sitemap,Default,ACCOUNT-INCOME RECEIVED,DATE TO,Visual Map,Default,ACCOUNT-INCOME RECEIVED_MDR_VM,DATE TO,,Direct,Date To,,,,,
UX Sitemap,Default,ACCOUNT-INCOME RECEIVED,PAYMENT DATE,Visual Map,Default,ACCOUNT-INCOME RECEIVED_MDR_VM,PAYMENT DATE,,Direct,Date of transaction,,,,,
UX Sitemap,Default,ACCOUNT-INCOME RECEIVED,TOTAL INCOME RECEIVED,Visual Map,Default,ACCOUNT-INCOME RECEIVED_MDR_VM,TOTAL INCOME RECEIVED,,Direct,Total Amount,,,,,
Visual Map,Default,ACCOUNT-INCOME RECEIVED_MDR_VM,CASH AMOUNT,IFS,Default,INCOME RECEIVED IFS,POS_NAME,,Direct,Cash Amount,,,,,
Visual Map,Default,ACCOUNT-INCOME RECEIVED_MDR_VM,CASH DESCRIPTION,IFS,Default,INCOME RECEIVED IFS,NCF_REC_CASH,,Derived,Cash Description,,,,,
Visual Map,Default,ACCOUNT-INCOME RECEIVED_MDR_VM,DATE FROM,IFS,Default,INCOME RECEIVED IFS,DATE_FROM,,Direct,Date From,,,,,
Visual Map,Default,ACCOUNT-INCOME RECEIVED_MDR_VM,DATE TO,IFS,Default,INCOME RECEIVED IFS,DATE_TO,,Direct,Date To,,,,,
